,station_antwerp,station_paris,station_london
station_antwerp,1.0,0.5484086364788952,-0.11147767106399599
station_paris,0.5484086364788952,1.0,0.015681561773664157
station_london,-0.11147767106399599,0.015681561773664157,1.0
