datetime,station_antwerp,station_paris,station_london
2019-05-11 03:00:00,26.5,15.5,32.0
2019-05-11 04:00:00,21.0,14.9,32.0
2019-05-11 05:00:00,20.847826086956523,18.4,35.0
2019-05-11 06:00:00,20.695652173913043,21.9,35.0
2019-05-11 07:00:00,20.543478260869566,25.4,30.0
2019-05-11 08:00:00,20.391304347826086,28.9,30.0
2019-05-11 09:00:00,20.23913043478261,29.0,27.0
2019-05-11 10:00:00,20.08695652173913,32.1,30.0
2019-05-11 11:00:00,19.934782608695652,35.7,29.666666666666668
2019-05-11 12:00:00,19.782608695652172,36.8,29.333333333333332
2019-05-11 13:00:00,19.630434782608695,33.2,29.0
2019-05-11 14:00:00,19.47826086956522,30.2,28.666666666666668
2019-05-11 15:00:00,19.32608695652174,30.8,28.333333333333332
2019-05-11 16:00:00,19.17391304347826,17.8,28.0
2019-05-11 17:00:00,19.02173913043478,18.0,26.0
2019-05-11 18:00:00,18.869565217391305,19.5,28.0
2019-05-11 19:00:00,18.717391304347828,32.0,31.0
2019-05-11 20:00:00,18.565217391304348,33.1,33.0
2019-05-11 21:00:00,18.41304347826087,31.2,33.0
2019-05-11 22:00:00,18.26086956521739,24.2,34.0
2019-05-11 23:00:00,18.108695652173914,21.1,37.0
2019-05-12 00:00:00,17.956521739130434,27.7,37.0
2019-05-12 01:00:00,17.804347826086957,26.4,35.0
2019-05-12 02:00:00,17.652173913043477,22.8,35.0
2019-05-12 03:00:00,17.5,19.2,38.0
2019-05-12 04:00:00,20.0,17.2,38.0
2019-05-12 05:00:00,19.76086956521739,16.0,36.0
2019-05-12 06:00:00,19.52173913043478,16.2,36.0
2019-05-12 07:00:00,19.282608695652172,19.2,38.0
2019-05-12 08:00:00,19.043478260869566,20.1,44.0
2019-05-12 09:00:00,18.804347826086957,15.9,32.0
2019-05-12 10:00:00,18.565217391304348,14.6,26.0
2019-05-12 11:00:00,18.32608695652174,11.7,26.0
2019-05-12 12:00:00,18.08695652173913,11.4,21.0
2019-05-12 13:00:00,17.847826086956523,11.4,20.0
2019-05-12 14:00:00,17.608695652173914,10.9,19.0
2019-05-12 15:00:00,17.369565217391305,8.7,21.0
2019-05-12 16:00:00,17.130434782608695,9.1,22.0
2019-05-12 17:00:00,16.891304347826086,9.6,23.0
2019-05-12 18:00:00,16.652173913043477,11.7,24.0
2019-05-12 19:00:00,16.41304347826087,13.9,22.0
2019-05-12 20:00:00,16.17391304347826,18.2,22.0
2019-05-12 21:00:00,15.934782608695652,19.5,22.0
2019-05-12 22:00:00,15.695652173913043,24.1,21.0
2019-05-12 23:00:00,15.456521739130434,34.2,22.0
2019-05-13 00:00:00,15.217391304347826,46.5,22.0
2019-05-13 01:00:00,14.978260869565217,32.5,22.0
2019-05-13 02:00:00,14.73913043478261,25.0,22.0
2019-05-13 03:00:00,14.5,18.9,24.0
2019-05-13 04:00:00,14.5,18.5,24.0
2019-05-13 05:00:00,14.5,18.9,33.0
2019-05-13 06:00:00,14.5,25.1,33.0
2019-05-13 07:00:00,14.5,38.3,39.0
2019-05-13 08:00:00,14.5,45.2,39.0
2019-05-13 09:00:00,14.5,41.0,31.0
2019-05-13 10:00:00,14.5,32.1,29.0
2019-05-13 11:00:00,14.5,20.6,27.0
2019-05-13 12:00:00,14.5,12.8,26.0
2019-05-13 13:00:00,14.5,9.6,24.0
2019-05-13 14:00:00,14.5,9.2,25.0
2019-05-13 15:00:00,14.5,10.1,26.0
2019-05-13 16:00:00,14.5,10.7,28.0
2019-05-13 17:00:00,14.5,10.6,29.0
2019-05-13 18:00:00,14.5,12.1,30.0
2019-05-13 19:00:00,14.5,13.0,30.0
2019-05-13 20:00:00,14.5,15.5,31.0
2019-05-13 21:00:00,14.5,23.9,31.0
2019-05-13 22:00:00,14.5,28.3,31.0
2019-05-13 23:00:00,14.5,30.4,31.0
2019-05-14 00:00:00,14.5,27.3,31.0
2019-05-14 01:00:00,14.5,22.8,23.0
