datetime,station_antwerp,station_paris,station_london
2019-05-07,47.75,33.9,22.1
2019-05-08,21.75,25.52916666666667,26.47826086956522
2019-05-09,20.25,27.837500000000002,43.17391304347826
2019-05-10,11.0,32.949999999999996,34.625
2019-05-11,23.75,26.804761904761904,30.842105263157894
2019-05-12,18.75,17.070833333333333,28.333333333333332
2019-05-13,14.5,22.866666666666664,28.625
2019-05-14,13.0,22.59166666666667,28.416666666666668
2019-05-15,24.0,19.974999999999998,30.956521739130434
2019-05-16,28.0,23.678260869565218,29.166666666666668
2019-05-17,,36.208333333333336,28.25
2019-05-18,38.3,24.945833333333336,33.458333333333336
2019-05-19,21.708333333333332,35.72083333333333,35.583333333333336
2019-05-20,24.02777777777778,26.95,30.75
2019-05-21,15.5,38.016666666666666,31.458333333333332
2019-05-22,20.5,41.8375,29.333333333333332
2019-05-23,59.75,46.6875,32.25
2019-05-24,59.75,31.304166666666664,33.608695652173914
2019-05-25,29.0,27.347619047619045,31.25
2019-05-26,53.0,23.724999999999998,23.75
2019-05-27,10.5,19.14166666666667,20.75
2019-05-28,11.0,19.895833333333332,22.52173913043478
2019-05-29,21.0,24.233333333333334,15.583333333333334
2019-05-30,7.5,16.275000000000002,12.916666666666666
2019-05-31,9.0,28.670833333333334,20.083333333333332
2019-06-01,52.5,35.61904761904762,24.25
2019-06-02,,24.854166666666668,35.583333333333336
2019-06-03,,26.65833333333333,15.166666666666666
2019-06-04,,31.520833333333332,22.666666666666668
2019-06-05,15.0,34.37916666666667,11.333333333333334
2019-06-06,,25.75294117647059,11.391304347826088
2019-06-07,,21.85625,24.652173913043477
2019-06-08,,13.45909090909091,11.727272727272727
2019-06-09,10.0,29.15833333333333,11.304347826086957
2019-06-10,18.5,19.587500000000002,29.833333333333332
2019-06-11,7.5,32.77916666666667,22.291666666666668
2019-06-12,21.0,29.541666666666668,28.0
2019-06-13,28.5,28.474999999999998,18.26086956521739
2019-06-14,36.5,40.166666666666664,16.956521739130434
2019-06-15,17.5,18.833333333333332,16.571428571428573
2019-06-16,42.5,13.879166666666668,16.0
2019-06-17,40.625,34.37916666666667,13.692307692307692
2019-06-18,,43.228571428571435,
2019-06-19,,31.066666666666666,
2019-06-20,,21.833333333333332,
2019-06-21,,22.766666666666666,
