datetime,station_antwerp_roll24_mean,station_paris_roll24_mean,station_london_roll24_mean,station_antwerp_roll24_std,station_paris_roll24_std,station_london_roll24_std
2019-05-07 02:00:00,,,,,,
2019-05-07 03:00:00,,,,,,
2019-05-07 04:00:00,,,,,,
2019-05-07 05:00:00,,,,,,
2019-05-07 06:00:00,,,,,,
2019-05-07 07:00:00,45.8768115942029,43.73333333333333,20.666666666666668,3.7066503016506904,20.761470725039366,3.502380143083652
2019-05-07 08:00:00,45.20496894409938,48.58571428571429,22.285714285714285,3.8221706146847336,22.89144152818025,5.345224838248487
2019-05-07 09:00:00,44.58152173913044,51.0,23.5,3.9536668083481654,22.26631023381673,6.02376246923086
2019-05-07 10:00:00,43.990338164251206,51.55555555555556,24.0,4.101588503295714,20.89480264988827,5.830951894845299
2019-05-07 11:00:00,43.42173913043478,49.85,23.7,4.26460449535304,20.4247807005771,5.578729445153458
2019-05-07 12:00:00,42.869565217391305,47.14545454545455,23.454545454545453,4.440948399194708,21.352159780048652,5.354692080103884
2019-05-07 13:00:00,42.32971014492754,44.300000000000004,23.0,4.628869572840574,22.619179311532786,5.3427946381509495
2019-05-07 14:00:00,41.79933110367893,41.70769230769231,22.76923076923077,4.826781790349597,23.587124366853963,5.182564457773232
2019-05-07 15:00:00,41.27639751552795,39.67142857142857,22.428571428571427,5.033300685404399,23.908267915624393,5.139803733371774
2019-05-07 16:00:00,40.75942028985507,37.76,22.266666666666666,5.247239071015827,24.19875439533437,4.992375138529709
2019-05-07 17:00:00,40.24728260869565,36.13125,22.125,5.4675872267313315,24.269039776362533,4.856267428111155
2019-05-07 18:00:00,39.73913043478261,35.07647058823529,22.058823529411764,5.6934892590826305,23.897450947009098,4.709970650589213
2019-05-07 19:00:00,39.234299516908216,34.36666666666667,21.944444444444443,5.924220084281393,23.37869819754224,4.595038529214671
2019-05-07 20:00:00,38.732265446224254,33.68421052631579,21.842105263157894,6.159164754424714,22.913927427995375,4.487800226970112
2019-05-07 21:00:00,38.232608695652175,33.339999999999996,21.95,6.397800602705974,22.35583992936451,4.394673809822163
2019-05-07 22:00:00,37.73498964803313,33.476190476190474,22.047619047619047,6.639682143898511,21.798713374002258,4.3066946777800545
2019-05-07 23:00:00,37.23913043478261,33.49545454545454,22.136363636363637,6.884428452491345,21.273557861092822,4.223465678523071
2019-05-08 00:00:00,36.74480151228734,33.595652173913045,22.217391304347824,7.131712677688557,20.78999930606649,4.144618874232976
2019-05-08 01:00:00,36.2518115942029,33.612500000000004,22.083333333333332,7.381253359246864,20.333187959803446,4.10637538963253
2019-05-08 02:00:00,35.145833333333336,33.49166666666667,21.916666666666668,7.13812025060067,20.39511699160977,4.148511169990535
2019-05-08 03:00:00,34.0,33.266666666666666,21.958333333333332,6.76363008091481,20.522260801524702,4.122885931698463
2019-05-08 04:00:00,32.979166666666664,32.75,22.0,6.879122467977053,20.822395969557483,4.096658235153646
2019-05-08 05:00:00,31.997282608695656,31.212500000000002,22.125,6.912901737023454,20.82480361617305,3.948720210947824
2019-05-08 06:00:00,31.054347826086953,29.27916666666667,22.041666666666668,6.877809653992909,19.989040022334564,3.994334756242589
2019-05-08 07:00:00,30.15036231884058,27.066666666666666,22.166666666666668,6.783871594493862,17.83086397640136,4.1668115916825075
2019-05-08 08:00:00,29.28532608695652,24.733333333333334,22.25,6.639207721487861,14.214220273058062,4.386243316869529
2019-05-08 09:00:00,28.45923913043478,22.71666666666667,22.416666666666668,6.450595934160734,10.861646390802868,4.826707102080606
2019-05-08 10:00:00,27.67210144927536,21.091666666666665,22.625,6.223838701892358,8.27504980500799,5.173616177087945
2019-05-08 11:00:00,26.92391304347826,20.475,22.916666666666668,5.964012923531508,7.768344348253619,5.2743568877835845
2019-05-08 12:00:00,26.21467391304348,21.029166666666665,23.166666666666668,5.675646739526081,8.202676083299687,5.3215449429381065
2019-05-08 13:00:00,25.544384057971016,21.379166666666666,23.5,5.362849014348386,8.02241312317192,5.23367025593188
2019-05-08 14:00:00,24.91304347826087,21.566666666666666,23.75,5.0294072339601295,7.809284700677287,5.202424184099595
2019-05-08 15:00:00,24.320652173913047,21.612499999999997,24.0,4.678863821904548,7.761124554330161,5.0562058296023045
2019-05-08 16:00:00,23.767210144927535,22.208333333333332,24.291666666666668,4.31457740330284,7.4537948704679895,5.017180627531297
2019-05-08 17:00:00,23.252717391304348,22.80416666666667,24.625,3.9397732948350863,7.142309891044392,4.985304491158509
2019-05-08 18:00:00,22.77717391304348,23.65416666666667,25.041666666666668,3.5575858313582707,7.75791204354385,5.0860351574864655
2019-05-08 19:00:00,22.340579710144926,23.945833333333336,25.875,3.1710935159243703,7.83598051169798,5.810878104712406
2019-05-08 20:00:00,21.942934782608692,24.212499999999995,26.083333333333332,2.7833456350772683,7.854453873578627,5.679227340792561
2019-05-08 21:00:00,21.58423913043478,24.816666666666666,26.291666666666668,2.3973742562576024,8.585765098046938,5.691176745948339
2019-05-08 22:00:00,21.26449275362319,24.904166666666665,26.375,2.0161738824968922,8.716524993999322,5.670767910578965
2019-05-08 23:00:00,20.983695652173914,25.529166666666665,26.4375,1.6425979829148845,9.853248379249797,5.651687897164568
2019-05-09 00:00:00,20.741847826086957,25.379166666666666,26.479166666666668,1.279012171029044,9.716547032350762,5.636602365954511
2019-05-09 01:00:00,20.538949275362317,25.012500000000003,26.9375,0.9260922629726499,9.541548160772873,5.4460047182594575
2019-05-09 02:00:00,20.375,24.704166666666666,27.416666666666668,0.5774184776216776,9.756891841452248,5.218417773422412
